WebViewLink	x	y
https://drive.google.com/file/d/1CcS0SF5j-XYo2_YKAQ-UgbQ-EK450kP6/view?usp=drivesdk	746	434
https://drive.google.com/file/d/1tS8OmRz3YTlfK6uiuwOCNkGw-fFjdbD4/view?usp=drivesdk	582	236
https://drive.google.com/file/d/1mtBrxijW-dc-gDzNv60nOy5_hfy5Y41s/view?usp=drivesdk	948	162
https://drive.google.com/file/d/1IEoiw8AmEBV3kOQEAa3_r2-8MPraPTtw/view?usp=drivesdk	839	262
https://drive.google.com/file/d/1X122Gdy1MzSx8EYBvQ-nleHd6qqY9teG/view?usp=drivesdk	813	304
https://drive.google.com/file/d/1kF08ox7x5TCr38pD-iW0ZkRN4UXQS2ED/view?usp=drivesdk	900	270
https://drive.google.com/file/d/1pBuQrJV2HgSu17Gh77QfMjta4_Z8Leyg/view?usp=drivesdk	665	325
https://drive.google.com/file/d/1CjzjbhWe2KPMp3K1E0zx5fZuylaTNTUv/view?usp=drivesdk	309	655
https://drive.google.com/file/d/1G46LXRvmKNWV7p8pO-RlNWKdAKow9GOJ/view?usp=drivesdk	797	392
https://drive.google.com/file/d/1e8DY8VUQZNNsr86WhFjzw6OLKaU4N_Gn/view?usp=drivesdk	967	332
https://drive.google.com/file/d/1NL-CF8Y0Ts22Pt-zcnwX-WDWj-h1MFUL/view?usp=drivesdk	935	321
https://drive.google.com/file/d/1DsCxbNktZpU9KM0FQkuGQNb323bSvmGt/view?usp=drivesdk	1029	595
https://drive.google.com/file/d/16ZO8lnf2Id2Qold9MfR-EFvwO3VK53bU/view?usp=drivesdk	1029	571
https://drive.google.com/file/d/1DQygwzIkKvqUpOHiKjX6XCrsVe18oEA1/view?usp=drivesdk	982	438
https://drive.google.com/file/d/1caDevFn5TV3vssdisdnwf2Nan1-BHTUm/view?usp=drivesdk	952	438
https://drive.google.com/file/d/139HuGbfhyyC3urFLutzERkBJ9PC-Mo_O/view?usp=drivesdk	500	654
https://drive.google.com/file/d/1po--WXOEQUq_XEUSZPZOqd4_5kgZvuHm/view?usp=drivesdk	392	642
https://drive.google.com/file/d/1iYIFq5FJLs9_koCb5Y1uyQypOAc5VRNq/view?usp=drivesdk	1014	397
https://drive.google.com/file/d/1u1JIrbjihp7DhbPtWqQl1exrITpa88Sh/view?usp=drivesdk	579	138
https://drive.google.com/file/d/1Chbsu1Piz2W_e5oZL17PGtS25jSgfvXK/view?usp=drivesdk	437	147
https://drive.google.com/file/d/17q-3hb_97tRvnhYbl6j4DbldCzbGMX4X/view?usp=drivesdk	484	105
https://drive.google.com/file/d/1WCdZb4m1Qm4YLigYfb2ulun-BTcYuy8N/view?usp=drivesdk	951	375
https://drive.google.com/file/d/15_EgX3WxhOZrCbknRdsxOmcT760jAbqc/view?usp=drivesdk	928	375
https://quantomental.com	206	26
https://quantomental.com	184	7
https://quantomental.com	231	7
https://quantomental.com	186	46
https://quantomental.com	230	46
https://www.instagram.com/ionikosnfwbc/	80	73
https://www.instagram.com/ionikosnfwbc/	111	78
https://www.instagram.com/ionikosnfwbc/	100	137
https://www.instagram.com/ionikosnfwbc/	66	169
https://www.facebook.com/ionikosnf.wbc/	128	26
https://www.facebook.com/ionikosnf.wbc/	34	25
https://www.youtube.com/watch?v=IdJ04Ewkm9g&list=RDIdJ04Ewkm9g&start_radio=1	760	661
https://kataskevastikh.gr/%cf%84%ce%b1-%cf%80%cf%81%ce%bf%cf%8a%cf%8c%ce%bd%cf%84%ce%b1-%ce%bc%ce%b1%cf%82/kataskevastikh/	92	369
